Year,Month,YearMonth,Date,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Brisbane,Adelaide - Brisbane,208,307.4117647,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Canberra,Adelaide - Canberra,258,381.3088235,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Darwin,Adelaide - Darwin,358,529.1029412,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Gold Coast,Adelaide - Gold Coast,128,189.1764706,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Melbourne,Adelaide - Melbourne,86,127.1029412,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Perth,Adelaide - Perth,288,425.6470588,,,,,,,,``
2010,1,201001,01-Jan-10,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,314.5797794,,,,,,,,
2010,1,201001,01-Jan-10,Adelaide,Sydney,Adelaide - Sydney,116,171.4411765,,,,,,,,
2010,1,201001,01-Jan-10,Albury,Sydney,Albury - Sydney,133,196.5661765,,,,,,,,
2010,1,201001,01-Jan-10,Alice Springs,Darwin,Alice Springs - Darwin,428,632.5588235,,,,,,,,
2010,1,201001,01-Jan-10,Alice Springs,Melbourne,Alice Springs - Melbourne,166,245.3382353,,,,,,,,
2010,1,201001,01-Jan-10,Alice Springs,Sydney,Alice Springs - Sydney,458,676.8970588,,,,,,,,
2010,1,201001,01-Jan-10,Avalon,Brisbane,Avalon - Brisbane,158,233.5147059,,,,,,,,
2010,1,201001,01-Jan-10,Avalon,Sydney,Avalon - Sydney,78,115.2794118,,,,,,,,
2010,1,201001,01-Jan-10,Ayers Rock,Cairns,Ayers Rock - Cairns,628,928.1470588,,,,,,,,
2010,1,201001,01-Jan-10,Ayers Rock,Sydney,Ayers Rock - Sydney,618,913.3676471,,,,,,,,
2010,1,201001,01-Jan-10,Ballina,Sydney,Ballina - Sydney,148,218.7352941,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Cairns,Brisbane - Cairns,188,277.8529412,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Canberra,Brisbane - Canberra,158,233.5147059,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Darwin,Brisbane - Darwin,258,381.3088235,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Emerald,Brisbane - Emerald,365,539.4485294,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Gladstone,Brisbane - Gladstone,224,331.0588235,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,177.3529412,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Hobart,Brisbane - Hobart,348,514.3235294,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Mackay,Brisbane - Mackay,108,159.6176471,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Melbourne,Brisbane - Melbourne,218,322.1911765,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Mount Isa,Brisbane - Mount Isa,471,696.1102941,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Perth,Brisbane - Perth,438,647.3382353,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Proserpine,Brisbane - Proserpine,128,189.1764706,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Rockhampton,Brisbane - Rockhampton,87,128.5808824,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Sydney,Brisbane - Sydney,128,189.1764706,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Townsville,Brisbane - Townsville,148,218.7352941,,,,,,,,
2010,1,201001,01-Jan-10,Brisbane,Newcastle,Brisbane - Newcastle,78,115.2794118,,,,,,,,
2010,1,201001,01-Jan-10,Broome,Perth,Broome - Perth,278,410.8676471,,,,,,,,
2010,1,201001,01-Jan-10,Bundaberg,Brisbane,Bundaberg - Brisbane,224,331.0588235,,,,,,,,
2010,1,201001,01-Jan-10,Cairns,Melbourne,Cairns - Melbourne,348,514.3235294,,,,,,,,
2010,1,201001,01-Jan-10,Cairns,Sydney,Cairns - Sydney,368,543.8823529,,,,,,,,
2010,1,201001,01-Jan-10,Cairns,Townsville,Cairns - Townsville,108,159.6176471,,,,,,,,
2010,1,201001,01-Jan-10,Canberra,Melbourne,Canberra - Melbourne,76,112.3235294,,,,,,,,
2010,1,201001,01-Jan-10,Canberra,Sydney,Canberra - Sydney,98,144.8382353,,,,,,,,
2010,1,201001,01-Jan-10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118,174.3970588,,,,,,,,
2010,1,201001,01-Jan-10,Darwin,Melbourne,Darwin - Melbourne,268,396.0882353,,,,,,,,
2010,1,201001,01-Jan-10,Darwin,Perth,Darwin - Perth,364,537.9705882,,,,,,,,
2010,1,201001,01-Jan-10,Darwin,Sydney,Darwin - Sydney,448,662.1176471,,,,,,,,
2010,1,201001,01-Jan-10,Devonport,Melbourne,Devonport - Melbourne,240,354.7058824,,,,,,,,
2010,1,201001,01-Jan-10,Dubbo,Sydney,Dubbo - Sydney,247.22,365.3766176,,,,,,,,
2010,1,201001,01-Jan-10,Geraldton,Perth,Geraldton - Perth,222.39,328.6793382,,,,,,,,
2010,1,201001,01-Jan-10,Gold Coast,Sydney,Gold Coast - Sydney,76,112.3235294,,,,,,,,
2010,1,201001,01-Jan-10,Hamilton Island,Sydney,Hamilton Island - Sydney,288,425.6470588,,,,,,,,
2010,1,201001,01-Jan-10,Hervey Bay,Sydney,Hervey Bay - Sydney,280,413.8235294,,,,,,,,
2010,1,201001,01-Jan-10,Hobart,Melbourne,Hobart - Melbourne,96,141.8823529,,,,,,,,
2010,1,201001,01-Jan-10,Hobart,Sydney,Hobart - Sydney,178,263.0735294,,,,,,,,
2010,1,201001,01-Jan-10,Kalgoorlie,Perth,Kalgoorlie - Perth,248,366.5294118,,,,,,,,
2010,1,201001,01-Jan-10,Karratha,Perth,Karratha - Perth,308,455.2058824,,,,,,,,
2010,1,201001,01-Jan-10,Launceston,Melbourne,Launceston - Melbourne,86,127.1029412,,,,,,,,
2010,1,201001,01-Jan-10,Launceston,Sydney,Launceston - Sydney,198.95,294.0363971,,,,,,,,
2010,1,201001,01-Jan-10,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,178,263.0735294,,,,,,,,
2010,1,201001,01-Jan-10,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,277.8529412,,,,,,,,
2010,1,201001,01-Jan-10,Melbourne,Gold Coast,Melbourne - Gold Coast,118,174.3970588,,,,,,,,
2010,1,201001,01-Jan-10,Melbourne,Mildura,Melbourne - Mildura,174,257.1617647,,,,,,,,
2010,1,201001,01-Jan-10,Melbourne,Perth,Melbourne - Perth,316,467.0294118,,,,,,,,
2010,1,201001,01-Jan-10,Melbourne,Sydney,Melbourne - Sydney,56,82.76470588,,,,,,,,
2010,1,201001,01-Jan-10,Melbourne,Newcastle,Melbourne - Newcastle,144,212.8235294,,,,,,,,
2010,1,201001,01-Jan-10,Paraburdoo,Perth,Paraburdoo - Perth,453,669.5073529,,,,,,,,
2010,1,201001,01-Jan-10,Perth,Newman,Perth - Newman,358,529.1029412,,,,,,,,
2010,1,201001,01-Jan-10,Perth,Port Hedland,Perth - Port Hedland,258,381.3088235,,,,,,,,
2010,1,201001,01-Jan-10,Perth,Sydney,Perth - Sydney,378,558.6617647,,,,,,,,
2010,1,201001,01-Jan-10,Port Macquarie,Sydney,Port Macquarie - Sydney,144,212.8235294,,,,,,,,
2010,1,201001,01-Jan-10,Sydney,Tamworth,Sydney - Tamworth,261,385.7426471,,,,,,,,
2010,1,201001,01-Jan-10,Sydney,Townsville,Sydney - Townsville,198,292.6323529,,,,,,,,
2010,1,201001,01-Jan-10,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230.41,340.5324265,,,,,,,,
2010,1,201001,01-Jan-10,Newcastle,Gold Coast,Newcastle - Gold Coast,130,192.1323529,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Brisbane,Adelaide - Brisbane,278,410.8676471,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Canberra,Adelaide - Canberra,274,404.9558824,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Darwin,Adelaide - Darwin,579,855.7279412,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,200.4088235,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Melbourne,Adelaide - Melbourne,81.6,120.6,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Perth,Adelaide - Perth,368,543.8823529,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,262.5710294,,,,,,,,
2010,2,201002,01-Feb-10,Adelaide,Sydney,Adelaide - Sydney,117.6,173.8058824,,,,,,,,
2010,2,201002,01-Feb-10,Albury,Sydney,Albury - Sydney,138,203.9558824,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Darwin,Alice Springs - Darwin,508,750.7941176,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Melbourne,Alice Springs - Melbourne,176,260.1176471,,,,,,,,
2010,2,201002,01-Feb-10,Alice Springs,Sydney,Alice Springs - Sydney,538,795.1323529,,,,,,,,
2010,2,201002,01-Feb-10,Avalon,Brisbane,Avalon - Brisbane,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Avalon,Sydney,Avalon - Sydney,98,144.8382353,,,,,,,,
2010,2,201002,01-Feb-10,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1238.514706,,,,,,,,
2010,2,201002,01-Feb-10,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1208.955882,,,,,,,,
2010,2,201002,01-Feb-10,Ballina,Sydney,Ballina - Sydney,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Cairns,Brisbane - Cairns,208,307.4117647,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Canberra,Brisbane - Canberra,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Darwin,Brisbane - Darwin,248,366.5294118,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Emerald,Brisbane - Emerald,369,545.3602941,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Gladstone,Brisbane - Gladstone,254,375.3970588,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,233.5147059,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Hobart,Brisbane - Hobart,508,750.7941176,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Mackay,Brisbane - Mackay,178,263.0735294,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Melbourne,Brisbane - Melbourne,238,351.75,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Mount Isa,Brisbane - Mount Isa,544,804,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Perth,Brisbane - Perth,438,647.3382353,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Proserpine,Brisbane - Proserpine,158,233.5147059,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Rockhampton,Brisbane - Rockhampton,87,128.5808824,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Sydney,Brisbane - Sydney,148,218.7352941,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Townsville,Brisbane - Townsville,188,277.8529412,,,,,,,,
2010,2,201002,01-Feb-10,Brisbane,Newcastle,Brisbane - Newcastle,88,130.0588235,,,,,,,,
2010,2,201002,01-Feb-10,Broome,Perth,Broome - Perth,278,410.8676471,,,,,,,,
2010,2,201002,01-Feb-10,Bundaberg,Brisbane,Bundaberg - Brisbane,274,404.9558824,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Melbourne,Cairns - Melbourne,378,558.6617647,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Sydney,Cairns - Sydney,358,529.1029412,,,,,,,,
2010,2,201002,01-Feb-10,Cairns,Townsville,Cairns - Townsville,118,174.3970588,,,,,,,,
2010,2,201002,01-Feb-10,Canberra,Melbourne,Canberra - Melbourne,76,112.3235294,,,,,,,,
2010,2,201002,01-Feb-10,Canberra,Sydney,Canberra - Sydney,128,189.1764706,,,,,,,,
2010,2,201002,01-Feb-10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,323.6691176,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Melbourne,Darwin - Melbourne,318,469.9852941,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Perth,Darwin - Perth,398,588.2205882,,,,,,,,
2010,2,201002,01-Feb-10,Darwin,Sydney,Darwin - Sydney,438,647.3382353,,,,,,,,
