Month,Year,Airline,MaxSeats
Sep-03,2003,Garuda Indonesia,3809
Sep-03,2003,Cathay Pacific Airways,2008
Sep-03,2003,Malaysia Airlines,4726
Sep-03,2003,Qantas Airways,1137
Sep-03,2003,Qantas Airways,1816
Sep-03,2003,Singapore Airlines,3876
Sep-03,2003,Air New Zealand,12669
Sep-03,2003,Freedom Air International,2556
Sep-03,2003,Garuda Indonesia,2296
Sep-03,2003,Malaysia Airlines,5018
Sep-03,2003,Qantas Airways,7306
Sep-03,2003,Qantas Airways,5563
Sep-03,2003,Thai Airways International,3705
Sep-03,2003,Royal Brunei Airlines,3564
Sep-03,2003,Thai Airways International,3705
Sep-03,2003,Air New Zealand,1088
Sep-03,2003,Freedom Air International,4119
Sep-03,2003,Qantas Airways,2590
Sep-03,2003,Garuda Indonesia,2296
Sep-03,2003,Garuda Indonesia,1465
Sep-03,2003,Freedom Air International,1847
Sep-03,2003,Freedom Air International,2840
Sep-03,2003,Cathay Pacific Airways,2488
Sep-03,2003,Cathay Pacific Airways,1244
Sep-03,2003,Cathay Pacific Airways,2488
Sep-03,2003,Solomon Airlines,1224
Sep-03,2003,Malaysia Airlines,5404
Sep-03,2003,Malaysia Airlines,2748
Sep-03,2003,Qantas Airways,7306
Sep-03,2003,Qantas Airways,5563
Sep-03,2003,Qantas Airways,908
Sep-03,2003,Fiji Airways,4478
Sep-03,2003,Nauru Airlines,440
Sep-03,2003,Nauru Airlines,440
Sep-03,2003,Air Caledonie,1027
Sep-03,2003,Qantas Airways,560
Sep-03,2003,Japan Airlines,14148
Sep-03,2003,Freedom Air International,2414
Sep-03,2003,Air Niugini,3680
Sep-03,2003,Air Niugini,2070
Sep-03,2003,Air Vanuatu,1638
Sep-03,2003,Air New Zealand,408
Sep-03,2003,Qantas Airways,506
Sep-03,2003,Qantas Airways,422
Sep-03,2003,Qantas Airways,422
Sep-03,2003,Korean Air,2094
Sep-03,2003,Qantas Airways,8440
Sep-03,2003,Qantas Airways,422
Sep-03,2003,Qantas Airways,2596
Sep-03,2003,Qantas Airways,422
Sep-03,2003,Singapore Airlines,19380
Sep-03,2003,China Airlines,1380
Sep-03,2003,Eva Air,2034
Sep-03,2003,Japan Airlines,12734
Sep-03,2003,Freedom Air International,3550
Sep-03,2003,Qantas Airways,1560
Sep-03,2003,Air New Zealand,3042
Sep-03,2003,Australian Airlines,3481
Sep-03,2003,Continental Micronesia,2002
Sep-03,2003,Qantas Airways,450
Sep-03,2003,Australian Airlines,2168
Sep-03,2003,Cathay Pacific Airways,2488
Sep-03,2003,Cathay Pacific Airways,2488
Sep-03,2003,Australian Airlines,1084
Sep-03,2003,Australian Airlines,1084
Sep-03,2003,Australian Airlines,7046
Sep-03,2003,Australian Airlines,458
Sep-03,2003,Australian Airlines,4878
Sep-03,2003,Air Niugini,3398
Sep-03,2003,Australian Airlines,2439
Sep-03,2003,Australian Airlines,1084
Sep-03,2003,Qantas Airways,3910
Sep-03,2003,Qantas Airways,432
Sep-03,2003,Qantas Airways,450
Sep-03,2003,Qantas Airways,8636
Sep-03,2003,Merpati Nusantara Airlines,400
Sep-03,2003,Royal Brunei Airlines,1204
Sep-03,2003,Garuda Indonesia,1072
Sep-03,2003,Qantas Airways,1090
Sep-03,2003,Qantas Airways,454
Sep-03,2003,Qantas Airways,1137
Sep-03,2003,Qantas Airways,1816
Sep-03,2003,Freedom Air International,4254
Sep-03,2003,Freedom Air International,1846
Sep-03,2003,Freedom Air International,1136
Sep-03,2003,Freedom Air International,1136
Sep-03,2003,Australian Airlines,4878
Sep-03,2003,Air New Zealand,12692
Sep-03,2003,Emirates,10635
Sep-03,2003,Qantas Airways,13728
Sep-03,2003,Qantas Airways,229
Sep-03,2003,Qantas Airways,394
Sep-03,2003,Thai Airways International,5700
Sep-03,2003,Thai Airways International,8458
Sep-03,2003,Air China,2709
Sep-03,2003,Air China,1505
Sep-03,2003,United Airlines,10410
Sep-03,2003,Air New Zealand,3596
Sep-03,2003,Qantas Airways,4160
Sep-03,2003,Qantas Airways,229
Sep-03,2003,Air Paradise International,2403
Sep-03,2003,Air Paradise International,2038
Sep-03,2003,Australian Airlines,1084
Sep-03,2003,Garuda Indonesia,3809
Sep-03,2003,Garuda Indonesia,1465
Sep-03,2003,Emirates,11015
Sep-03,2003,Freedom Air International,568
Sep-03,2003,Qantas Airways,432
Sep-03,2003,Air China,2709
Sep-03,2003,China Southern Airlines,2583
Sep-03,2003,Freedom Air International,1278
